program,interference,value,color
blackscholes, cpu, 1.24655172413793103448, green
blackscholes, l1d, 1.23620689655172413793, green
blackscholes, l1i, 1.27241379310344827586, green
blackscholes, l2, 1.25344827586206896551, green
blackscholes, llc, 1.26206896551724137931, green
blackscholes, membw, 1.27241379310344827586, green
canneal, cpu, 1.13982899893124332027, green
canneal, l1d, 1.21375133594584966156, green
canneal, l1i, 1.22034200213751335945, green
canneal, l2, 1.21250445315283220520, green
canneal, llc, 1.66530103313145707160, YellowOrange
canneal, membw, 1.42928393302458140363, YellowOrange
dedup, cpu, 1.49035360347152993608, YellowOrange
dedup, l1d, 1.22553216442854629683, green
dedup, l1i, 1.59379581305342168533, YellowOrange
dedup, l2, 1.24652553802849938427, green
dedup, llc, 1.66017709493930686682, YellowOrange
dedup, membw, 1.66422330381751011552, YellowOrange
ferret, cpu, 1.89753424657534246575, YellowOrange
ferret, l1d, 1.11506849315068493150, green
ferret, l1i, 2.00547945205479452054, red
ferret, l2, 1.10821917808219178082, green
ferret, llc, 2.29232876712328767123, red
ferret, membw, 2.22328767123287671232, red
freqmine, cpu, 2.02116911234063026220, red
freqmine, l1d, 1.19773875390906904017, green
freqmine, l1i, 1.98267981717584796728, YellowOrange
freqmine, l2, 1.18907866249699302381, green
freqmine, llc, 1.77339427471734423863, YellowOrange
freqmine, membw, 1.74164060620639884532, YellowOrange
radix, cpu, 1.05288603121625601256, green
radix, l1d, 1.08429861588298812211, green
radix, l1i, 1.07207715716108766074, green
radix, l2, 1.08235987042308824973, green
radix, llc, 1.28354765878079905762, green
radix, membw, 1.10434867968980072641, green
vips, cpu, 1.57945323144363485575, YellowOrange
vips, l1d, 1.58885729518393460103, YellowOrange
vips, l1i, 1.51919317575972987382, YellowOrange
vips, l2, 1.58953853444701143297, YellowOrange
vips, llc, 1.87551092944730762395, YellowOrange
vips, membw, 1.81730940110183046028, YellowOrange