program, interference, value, color
blackscholes, cpu, 1.22743055555555555555, green
blackscholes, l1d, 1.20833333333333333333, green
blackscholes, l1i, 1.28819444444444444444, green
blackscholes, l2, 1.33333333333333333333, YellowOrange
blackscholes, llc, 1.67013888888888888888, YellowOrange
blackscholes, membw, 1.28125000000000000000, green
canneal, cpu, 1.15612409347300564061, green
canneal, l1d, 1.17546333601933924254, green
canneal, l1i, 1.22945205479452054794, green
canneal, l2, 1.27437550362610797743, green
canneal, llc, 1.78666398066075745366, YellowOrange
canneal, membw, 1.74174053182917002417, YellowOrange
dedup, cpu, 1.47613991623901374388, YellowOrange
dedup, l1d, 1.22355925204978469887, green
dedup, l1i, 1.59157671208635639709, YellowOrange
dedup, l2, 1.23848286438978351914, green
dedup, llc, 1.68813779272105232112, YellowOrange
dedup, membw, 1.66147584498318881613, YellowOrange
ferret, cpu, 1.86482515427563914193, YellowOrange
ferret, l1d, 1.12606523655598001763, green
ferret, l1i, 2.06024096385542168674, red
ferret, l2, 1.23214810461357625624, green
ferret, llc, 2.41140170437848956802, red
ferret, membw, 2.46312077578607111372, red
freqmine, cpu, 1.86877617496510004653, YellowOrange
freqmine, l1d, 1.12308050255932992089, green
freqmine, l1i, 1.90251279664960446719, YellowOrange
freqmine, l2, 1.14308980921358771521, green
freqmine, llc, 1.67194043741275011633, YellowOrange
freqmine, membw, 1.64146114471847370870, YellowOrange
radix, cpu, 1.06007137192704203013, green
radix, l1d, 1.06876982553528945281, green
radix, l1i, 1.06708465503568596352, green
radix, l2, 1.09060269627279936558, green
radix, llc, 1.28258822363203806502, green
radix, membw, 1.12215007930214115781, green
vips, cpu, 1.56843527717141117595, YellowOrange
vips, l1d, 1.56868772367502710087, YellowOrange
vips, l1i, 1.50749172123966083069, YellowOrange
vips, l2, 1.56839072778842013038, YellowOrange
vips, llc, 1.82379234047608440623, YellowOrange
vips, membw, 1.80735361815238858941, YellowOrange